anio,seleccion_id,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,participo
1970,25,,no participo,,,,,,,,,f
1974,25,,no participo,,,,,,,,,f
1978,25,,no participo,,,,,,,,,f
1982,25,,no participo,,,,,,,,,f
1986,25,,no participo,,,,,,,,,f
1990,25,,no participo,,,,,,,,,f
1994,25,,no participo,,,,,,,,,f
1998,25,,no participo,,,,,,,,,f
2002,25,,no participo,,,,,,,,,f
2006,25,,no participo,,,,,,,,,f
2010,25,,no participo,,,,,,,,,f
2014,25,,no participo,,,,,,,,,f
2018,25,,no participo,,,,,,,,,f
2022,25,,no participo,,,,,,,,,f
2026,25,,no participo,,,,,,,,,f
1930,26,,no participo,,,,,,,,,f
1934,26,,no participo,,,,,,,,,f
1938,26,,no participo,,,,,,,,,f
1950,26,,no participo,,,,,,,,,f
1954,26,,no participo,,,,,,,,,f
1958,26,,no participo,,,,,,,,,f
1962,26,,no participo,,,,,,,,,f
1966,26,,no participo,,,,,,,,,f
1970,26,,no participo,,,,,,,,,f
1974,26,,no participo,,,,,,,,,f
1978,26,,no participo,,,,,,,,,f
1982,26,,no participo,,,,,,,,,f
1986,26,,no participo,,,,,,,,,f
1990,26,,no participo,,,,,,,,,f
1994,26,,no participo,,,,,,,,,f
1998,26,,no participo,,,,,,,,,f
2002,26,,no participo,,,,,,,,,f
2006,26,,no participo,,,,,,,,,f
2010,26,,no participo,,,,,,,,,f
2014,26,,no participo,,,,,,,,,f
2018,26,,no participo,,,,,,,,,f
2022,26,,no participo,,,,,,,,,f
2026,26,,clasificado,0,0,0,0,0,0,0,0,t
1930,27,,no participo,,,,,,,,,f
1934,27,,no participo,,,,,,,,,f
1938,27,,no participo,,,,,,,,,f
1950,27,,no participo,,,,,,,,,f
1954,27,,no participo,,,,,,,,,f
1958,27,,no participo,,,,,,,,,f
1962,27,,no participo,,,,,,,,,f
1966,27,,no participo,,,,,,,,,f
1970,27,,no participo,,,,,,,,,f
1974,27,,no participo,,,,,,,,,f
1978,27,,no participo,,,,,,,,,f
1982,27,,no participo,,,,,,,,,f
1986,27,9,Octavos de Final,6,4,3,0,1,10,6,4,t
1990,27,,no participo,,,,,,,,,f
1994,27,,no participo,,,,,,,,,f
1998,27,8,Cuartos de Final,7,5,2,1,2,9,7,2,t
2002,27,10,Octavos de Final,7,4,2,1,1,5,5,0,t
2006,27,,no participo,,,,,,,,,f
2010,27,24,Grupos 1ra Ronda,3,3,1,0,2,3,6,-3,t
2014,27,,no participo,,,,,,,,,f
2018,27,11,Octavos de Final,6,4,1,3,0,3,2,1,t
2022,27,28,Grupos 1ra Ronda,1,3,0,1,2,1,3,-2,t
2026,27,,,,,,,,,,,t
1930,28,,no participo,,,,,,,,,f
1934,28,,no participo,,,,,,,,,f
1938,28,,no participo,,,,,,,,,f
1950,28,,no participo,,,,,,,,,f
1954,28,,no participo,,,,,,,,,f
1958,28,,no participo,,,,,,,,,f
1962,28,,no participo,,,,,,,,,f
1966,28,,no participo,,,,,,,,,f
1970,28,,no participo,,,,,,,,,f
1974,28,,no participo,,,,,,,,,f
1978,28,,no participo,,,,,,,,,f
1982,28,,no participo,,,,,,,,,f
1986,28,,no participo,,,,,,,,,f
1990,28,,no participo,,,,,,,,,f
1994,28,,no participo,,,,,,,,,f
1998,28,,no participo,,,,,,,,,f
2002,28,24,Grupos 1ra Ronda,3,3,1,0,2,2,4,-2,t
2006,28,12,Octavos de Final,6,4,2,0,2,5,4,1,t
2010,28,,no participo,,,,,,,,,f
2014,28,17,Grupos 1ra Ronda,4,3,1,1,1,3,3,0,t
2018,28,,no participo,,,,,,,,,f
2022,28,18,Grupos 1ra Ronda,4,3,1,1,1,4,3,1,t
2026,28,,clasificado,0,0,0,0,0,0,0,0,t
1930,29,,no participo,,,,,,,,,f
1934,29,13,Octavos de Final,0,1,0,0,1,2,4,-2,t
1938,29,,no participo,,,,,,,,,f
1950,29,,no participo,,,,,,,,,f
1954,29,,no participo,,,,,,,,,f
1958,29,,no participo,,,,,,,,,f
1962,29,,no participo,,,,,,,,,f
1966,29,,no participo,,,,,,,,,f
1970,29,,no participo,,,,,,,,,f
1974,29,,no participo,,,,,,,,,f
1978,29,,no participo,,,,,,,,,f
1982,29,,no participo,,,,,,,,,f
1986,29,,no participo,,,,,,,,,f
1990,29,20,Grupos 1ra Ronda,2,3,0,2,1,1,2,-1,t
1994,29,,no participo,,,,,,,,,f
1998,29,,no participo,,,,,,,,,f
2002,29,,no participo,,,,,,,,,f
2006,29,,no participo,,,,,,,,,f
2010,29,,no participo,,,,,,,,,f
2014,29,,no participo,,,,,,,,,f
2018,29,31,Grupos 1ra Ronda,0,3,0,0,3,2,6,-4,t
2022,29,,no participo,,,,,,,,,f
2026,29,,clasificado,0,0,0,0,0,0,0,0,t
1930,30,,no participo,,,,,,,,,f
1934,30,,no participo,,,,,,,,,f
1938,30,,no participo,,,,,,,,,f
1950,30,,no participo,,,,,,,,,f
1954,30,,no participo,,,,,,,,,f
1958,30,,no participo,,,,,,,,,f
1962,30,,no participo,,,,,,,,,f
1966,30,,no participo,,,,,,,,,f
1970,30,16,Grupos 1ra Ronda,0,3,0,0,3,0,9,-9,t
1974,30,,no participo,,,,,,,,,f
1978,30,,no participo,,,,,,,,,f
1982,30,24,Grupos 1ra Ronda,0,3,0,0,3,1,13,-12,t
1986,30,,no participo,,,,,,,,,f
1990,30,,no participo,,,,,,,,,f
1994,30,,no participo,,,,,,,,,f
1998,30,,no participo,,,,,,,,,f
2002,30,,no participo,,,,,,,,,f
2006,30,,no participo,,,,,,,,,f
2010,30,,no participo,,,,,,,,,f
2014,30,,no participo,,,,,,,,,f
2018,30,,no participo,,,,,,,,,f
2022,30,,no participo,,,,,,,,,f
2026,30,,no participo,,,,,,,,,f
1930,31,,no participo,,,,,,,,,f
1934,31,,no participo,,,,,,,,,f
1938,31,,no participo,,,,,,,,,f
1950,31,,no participo,,,,,,,,,f
1954,31,,no participo,,,,,,,,,f
1958,31,,no participo,,,,,,,,,f
1962,31,,no participo,,,,,,,,,f
1966,31,,no participo,,,,,,,,,f
1970,31,,no participo,,,,,,,,,f
1974,31,,no participo,,,,,,,,,f
1978,31,,no participo,,,,,,,,,f
1982,31,,no participo,,,,,,,,,f
1986,31,,no participo,,,,,,,,,f
1990,31,24,Grupos 1ra Ronda,0,3,0,0,3,2,11,-9,t
1994,31,,no participo,,,,,,,,,f
1998,31,,no participo,,,,,,,,,f
2002,31,,no participo,,,,,,,,,f
2006,31,,no participo,,,,,,,,,f
2010,31,,no participo,,,,,,,,,f
2014,31,,no participo,,,,,,,,,f
2018,31,,no participo,,,,,,,,,f
2022,31,,no participo,,,,,,,,,f
2026,31,,,,,,,,,,,t
1930,32,,no participo,,,,,,,,,f
1934,32,,no participo,,,,,,,,,f
1938,32,,no participo,,,,,,,,,f
1950,32,,no participo,,,,,,,,,f
1954,32,15,Grupos 1ra Ronda,0,2,0,0,2,0,8,-8,t
1958,32,14,Grupos 1ra Ronda,1,3,0,1,2,4,6,-2,t
1962,32,,no participo,,,,,,,,,f
1966,32,,no participo,,,,,,,,,f
1970,32,,no participo,,,,,,,,,f
1974,32,9,Grupos 1ra Ronda,4,3,1,2,0,3,1,2,t
1978,32,11,Grupos 1ra Ronda,3,3,1,1,1,5,6,-1,t
1982,32,15,Grupos 1ra Ronda,3,3,1,1,1,8,8,0,t
1986,32,19,Grupos 1ra Ronda,1,3,0,1,2,1,3,-2,t
1990,32,18,Grupos 1ra Ronda,2,3,1,0,2,2,3,-1,t
1994,32,,no participo,,,,,,,,,f
1998,32,27,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4,t
2002,32,,no participo,,,,,,,,,f
2006,32,,no participo,,,,,,,,,f
2010,32,,no participo,,,,,,,,,f
2014,32,,no participo,,,,,,,,,f
2018,32,,no participo,,,,,,,,,f
2022,32,,no participo,,,,,,,,,f
2026,32,,clasificado,0,0,0,0,0,0,0,0,t
1930,33,,no participo,,,,,,,,,f
1934,33,,no participo,,,,,,,,,f
1938,33,,no participo,,,,,,,,,f
1950,33,,no participo,,,,,,,,,f
1954,33,,no participo,,,,,,,,,f
1958,33,,no participo,,,,,,,,,f
1962,33,,no participo,,,,,,,,,f
1966,33,,no participo,,,,,,,,,f
1970,33,,no participo,,,,,,,,,f
1974,33,,no participo,,,,,,,,,f
1978,33,,no participo,,,,,,,,,f
1982,33,,no participo,,,,,,,,,f
1986,33,,no participo,,,,,,,,,f
1990,33,,no participo,,,,,,,,,f
1994,33,,no participo,,,,,,,,,f
1998,33,,no participo,,,,,,,,,f
2002,33,,no participo,,,,,,,,,f
2006,33,,no participo,,,,,,,,,f
2010,33,16,Octavos de Final,4,4,1,1,2,5,7,-2,t
2014,33,,no participo,,,,,,,,,f
2018,33,,no participo,,,,,,,,,f
2022,33,,no participo,,,,,,,,,f
2026,33,,,,,,,,,,,t
1930,34,,no participo,,,,,,,,,f
1934,34,,no participo,,,,,,,,,f
1938,34,,no participo,,,,,,,,,f
1950,34,,no participo,,,,,,,,,f
1954,34,,no participo,,,,,,,,,f
1958,34,,no participo,,,,,,,,,f
1962,34,,no participo,,,,,,,,,f
1966,34,,no participo,,,,,,,,,f
1970,34,,no participo,,,,,,,,,f
1974,34,,no participo,,,,,,,,,f
1978,34,,no participo,,,,,,,,,f
1982,34,,no participo,,,,,,,,,f
1986,34,,no participo,,,,,,,,,f
1990,34,,no participo,,,,,,,,,f
1994,34,,no participo,,,,,,,,,f
1998,34,,no participo,,,,,,,,,f
2002,34,30,Grupos 1ra Ronda,0,3,0,0,3,2,7,-5,t
2006,34,,no participo,,,,,,,,,f
2010,34,18,Grupos 1ra Ronda,4,3,1,1,1,3,3,0,t
2014,34,,no participo,,,,,,,,,f
2018,34,,no participo,,,,,,,,,f
2022,34,,no participo,,,,,,,,,f
2026,34,,,,,,,,,,,t
1930,35,,no participo,,,,,,,,,f
1934,35,5,Cuartos de Final,3,3,1,1,1,4,3,1,t
1938,35,,no participo,,,,,,,,,f
1950,35,4,Ronda Final,7,6,3,1,2,10,12,-2,t
1954,35,,no participo,,,,,,,,,f
1958,35,,no participo,,,,,,,,,f
1962,35,12,Grupos 1ra Ronda,2,3,1,0,2,2,3,-1,t
1966,35,10,Grupos 1ra Ronda,2,3,1,0,2,4,5,-1,t
1970,35,,no participo,,,,,,,,,f
1974,35,,no participo,,,,,,,,,f
1978,35,10,Grupos 1ra Ronda,3,3,1,1,1,2,2,0,t
1982,35,12,Grupos 2da Ronda,4,5,1,2,2,4,5,-1,t
1986,35,7,Cuartos de Final,7,5,3,1,1,11,4,7,t
1990,35,10,Octavos de Final,5,4,2,1,1,6,4,2,t
1994,35,8,Cuartos de Final,8,5,2,2,1,10,6,4,t
1998,35,17,Grupos 1ra Ronda,4,3,1,1,1,8,4,4,t
2002,35,5,Cuartos de Final,11,5,3,2,0,10,5,5,t
2006,35,9,Octavos de Final,9,4,3,0,1,9,4,5,t
2010,35,1,Final,18,7,6,0,1,8,2,6,t
2014,35,23,Grupos 1ra Ronda,3,3,1,0,2,4,7,-3,t
2018,35,10,Octavos de Final,6,4,1,3,0,7,6,1,t
2022,35,13,Octavos de Final,5,4,1,2,1,9,3,6,t
2026,35,,clasificado,0,0,0,0,0,0,0,0,t
1930,36,3,Partido 3er Puesto,4,3,2,0,1,7,6,1,t
1934,36,16,Octavos de Final,0,1,0,0,1,1,7,-6,t
1938,36,,no participo,,,,,,,,,f
1950,36,10,Grupos 1ra Ronda,2,3,1,0,2,4,8,-4,t
1954,36,,no participo,,,,,,,,,f
1958,36,,no participo,,,,,,,,,f
1962,36,,no participo,,,,,,,,,f
1966,36,,no participo,,,,,,,,,f
1970,36,,no participo,,,,,,,,,f
1974,36,,no participo,,,,,,,,,f
1978,36,,no participo,,,,,,,,,f
1982,36,,no participo,,,,,,,,,f
1986,36,,no participo,,,,,,,,,f
1990,36,23,Grupos 1ra Ronda,0,3,0,0,3,2,8,-6,t
1994,36,14,Octavos de Final,4,4,1,1,2,3,4,-1,t
1998,36,32,Grupos 1ra Ronda,0,3,0,0,3,1,5,-4,t
2002,36,8,Cuartos de Final,7,5,2,1,2,7,7,0,t
2006,36,25,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4,t
2010,36,12,Octavos de Final,5,4,1,2,1,5,5,0,t
2014,36,15,Octavos de Final,4,4,1,1,2,5,6,-1,t
2018,36,,no participo,,,,,,,,,f
2022,36,14,Octavos de Final,5,4,1,2,1,3,4,-1,t
2026,36,,clasificado,0,0,0,0,0,0,0,0,t
1930,37,7,Grupos 1ra Ronda,2,3,1,0,2,4,3,1,t
1934,37,9,Octavos de Final,0,1,0,0,1,2,3,-1,t
1938,37,8,Cuartos de Final,2,2,1,0,1,4,4,0,t
1950,37,,no participo,,,,,,,,,f
1954,37,9,Grupos 1ra Ronda,2,2,1,0,1,3,3,0,t
1958,37,3,Partido 3er Puesto,8,6,4,0,2,23,15,8,t
1962,37,,no participo,,,,,,,,,f
1966,37,13,Grupos 1ra Ronda,1,3,0,1,2,2,5,-3,t
1970,37,,no participo,,,,,,,,,f
1974,37,,no participo,,,,,,,,,f
1978,37,12,Grupos 1ra Ronda,2,3,1,0,2,5,5,0,t
1982,37,4,Partido 3er Puesto,8,7,3,2,2,16,12,4,t
1986,37,3,Partido 3er Puesto,10,7,4,2,1,12,6,6,t
1990,37,,no participo,,,,,,,,,f
1994,37,,no participo,,,,,,,,,f
1998,37,1,Final,19,7,6,1,0,15,2,13,t
2002,37,28,Grupos 1ra Ronda,1,3,0,1,2,0,3,-3,t
2006,37,2,Final,15,7,4,3,0,9,3,6,t
2010,37,29,Grupos 1ra Ronda,1,3,0,1,2,1,4,-3,t
2014,37,7,Cuartos de Final,10,5,3,1,1,10,3,7,t
2018,37,1,Final,19,7,6,1,0,14,6,8,t
2022,37,2,Final,16,7,5,1,1,16,8,8,t
2026,37,,clasificado,0,0,0,0,0,0,0,0,t
1930,38,,no participo,,,,,,,,,f
1934,38,,no participo,,,,,,,,,f
1938,38,,no participo,,,,,,,,,f
1950,38,,no participo,,,,,,,,,f
1954,38,,no participo,,,,,,,,,f
1958,38,5,Cuartos de Final,5,5,1,3,1,4,4,0,t
1962,38,,no participo,,,,,,,,,f
1966,38,,no participo,,,,,,,,,f
1970,38,,no participo,,,,,,,,,f
1974,38,,no participo,,,,,,,,,f
1978,38,,no participo,,,,,,,,,f
1982,38,,no participo,,,,,,,,,f
1986,38,,no participo,,,,,,,,,f
1990,38,,no participo,,,,,,,,,f
1994,38,,no participo,,,,,,,,,f
1998,38,,no participo,,,,,,,,,f
2002,38,,no participo,,,,,,,,,f
2006,38,,no participo,,,,,,,,,f
2010,38,,no participo,,,,,,,,,f
2014,38,,no participo,,,,,,,,,f
2018,38,,no participo,,,,,,,,,f
2022,38,30,Grupos 1ra Ronda,1,3,0,1,2,1,6,-5,t
2026,38,,,,,,,,,,,t
1930,39,,no participo,,,,,,,,,f
1934,39,,no participo,,,,,,,,,f
1938,39,,no participo,,,,,,,,,f
1950,39,,no participo,,,,,,,,,f
1954,39,,no participo,,,,,,,,,f
1958,39,,no participo,,,,,,,,,f
1962,39,,no participo,,,,,,,,,f
1966,39,,no participo,,,,,,,,,f
1970,39,,no participo,,,,,,,,,f
1974,39,,no participo,,,,,,,,,f
1978,39,,no participo,,,,,,,,,f
1982,39,,no participo,,,,,,,,,f
1986,39,,no participo,,,,,,,,,f
1990,39,,no participo,,,,,,,,,f
1994,39,,no participo,,,,,,,,,f
1998,39,,no participo,,,,,,,,,f
2002,39,,no participo,,,,,,,,,f
2006,39,13,Octavos de Final,6,4,2,0,2,4,6,-2,t
2010,39,7,Cuartos de Final,8,5,2,2,1,5,4,1,t
2014,39,25,Grupos 1ra Ronda,1,3,0,1,2,4,6,-2,t
2018,39,,no participo,,,,,,,,,f
2022,39,24,Grupos 1ra Ronda,3,3,1,0,2,5,7,-2,t
2026,39,,clasificado,0,0,0,0,0,0,0,0,t
1930,40,,no participo,,,,,,,,,f
1934,40,,no participo,,,,,,,,,f
1938,40,,no participo,,,,,,,,,f
1950,40,,no participo,,,,,,,,,f
1954,40,,no participo,,,,,,,,,f
1958,40,,no participo,,,,,,,,,f
1962,40,,no participo,,,,,,,,,f
1966,40,,no participo,,,,,,,,,f
1970,40,,no participo,,,,,,,,,f
1974,40,,no participo,,,,,,,,,f
1978,40,,no participo,,,,,,,,,f
1982,40,,no participo,,,,,,,,,f
1986,40,,no participo,,,,,,,,,f
1990,40,,no participo,,,,,,,,,f
1994,40,24,Grupos 1ra Ronda,0,3,0,0,3,0,10,-10,t
1998,40,,no participo,,,,,,,,,f
2002,40,,no participo,,,,,,,,,f
2006,40,,no participo,,,,,,,,,f
2010,40,25,Grupos 1ra Ronda,3,3,1,0,2,2,5,-3,t
2014,40,13,Octavos de Final,5,4,1,2,1,3,5,-2,t
2018,40,,no participo,,,,,,,,,f
2022,40,,no participo,,,,,,,,,f
2026,40,,no participo,,,,,,,,,f
1930,41,,no participo,,,,,,,,,f
1934,41,,no participo,,,,,,,,,f
1938,41,,no participo,,,,,,,,,f
1950,41,,no participo,,,,,,,,,f
1954,41,,no participo,,,,,,,,,f
1958,41,,no participo,,,,,,,,,f
1962,41,,no participo,,,,,,,,,f
1966,41,,no participo,,,,,,,,,f
1970,41,,no participo,,,,,,,,,f
1974,41,15,Grupos 1ra Ronda,0,3,0,0,3,2,14,-12,t
1978,41,,no participo,,,,,,,,,f
1982,41,,no participo,,,,,,,,,f
1986,41,,no participo,,,,,,,,,f
1990,41,,no participo,,,,,,,,,f
1994,41,,no participo,,,,,,,,,f
1998,41,,no participo,,,,,,,,,f
2002,41,,no participo,,,,,,,,,f
2006,41,,no participo,,,,,,,,,f
2010,41,,no participo,,,,,,,,,f
2014,41,,no participo,,,,,,,,,f
2018,41,,no participo,,,,,,,,,f
2022,41,,no participo,,,,,,,,,f
2026,41,,clasificado,0,0,0,0,0,0,0,0,t
1930,121,,no participo,,,,,,,,,f
1934,121,9,Octavos de Final,0,1,0,0,1,2,3,-1,t
1938,121,14,Octavos de Final,0,1,0,0,1,0,3,-3,t
1950,121,,no participo,,,,,,,,,f
1954,121,,no participo,,,,,,,,,f
1958,121,,no participo,,,,,,,,,f
1962,121,,no participo,,,,,,,,,f
1966,121,,no participo,,,,,,,,,f
1970,121,,no participo,,,,,,,,,f
1974,121,2,Final,11,7,5,1,1,15,3,12,t
1978,121,2,Final,8,7,3,2,2,15,10,5,t
1982,121,,no participo,,,,,,,,,f
1986,121,,no participo,,,,,,,,,f
1990,121,15,Octavos de Final,3,4,0,3,1,3,4,-1,t
1994,121,7,Cuartos de Final,9,5,3,0,2,8,6,2,t
1998,121,4,Partido 3er Puesto,12,7,3,3,1,13,7,6,t
2002,121,,no participo,,,,,,,,,f
2006,121,11,Octavos de Final,7,4,2,1,1,3,2,1,t
2010,121,2,Final,18,7,6,0,1,12,6,6,t
2014,121,3,Partido 3er Puesto,17,7,5,2,0,15,4,11,t
2018,121,,no participo,,,,,,,,,f
2022,121,5,Cuartos de Final,11,5,3,2,0,10,4,6,t
2026,121,,clasificado,0,0,0,0,0,0,0,0,t
1930,42,,no participo,,,,,,,,,f
1934,42,,no participo,,,,,,,,,f
1938,42,,no participo,,,,,,,,,f
1950,42,,no participo,,,,,,,,,f
1954,42,,no participo,,,,,,,,,f
1958,42,,no participo,,,,,,,,,f
1962,42,,no participo,,,,,,,,,f
1966,42,,no participo,,,,,,,,,f
1970,42,,no participo,,,,,,,,,f
1974,42,,no participo,,,,,,,,,f
1978,42,,no participo,,,,,,,,,f
1982,42,18,Grupos 1ra Ronda,2,3,0,2,1,2,3,-1,t
1986,42,,no participo,,,,,,,,,f
1990,42,,no participo,,,,,,,,,f
1994,42,,no participo,,,,,,,,,f
1998,42,,no participo,,,,,,,,,f
2002,42,,no participo,,,,,,,,,f
2006,42,,no participo,,,,,,,,,f
2010,42,30,Grupos 1ra Ronda,1,3,0,1,2,0,3,-3,t
2014,42,31,Grupos 1ra Ronda,0,3,0,0,3,1,8,-7,t
2018,42,,no participo,,,,,,,,,f
2022,42,,no participo,,,,,,,,,f
2026,42,,,,,,,,,,,t
1930,43,,no participo,,,,,,,,,f
1934,43,6,Cuartos de Final,2,2,1,0,1,5,4,1,t
1938,43,2,Final,6,4,3,0,1,15,5,10,t
1950,43,,no participo,,,,,,,,,f
1954,43,2,Final,8,5,4,0,1,27,10,17,t
1958,43,10,Grupos 1ra Ronda,3,4,1,1,2,7,5,2,t
1962,43,5,Cuartos de Final,5,4,2,1,1,8,3,5,t
1966,43,6,Cuartos de Final,4,4,2,0,2,8,7,1,t
1970,43,,no participo,,,,,,,,,f
1974,43,,no participo,,,,,,,,,f
1978,43,15,Grupos 1ra Ronda,0,3,0,0,3,3,8,-5,t
1982,43,14,Grupos 1ra Ronda,3,3,1,1,1,12,6,6,t
1986,43,18,Grupos 1ra Ronda,2,3,1,0,2,2,9,-7,t
1990,43,,no participo,,,,,,,,,f
1994,43,,no participo,,,,,,,,,f
1998,43,,no participo,,,,,,,,,f
2002,43,,no participo,,,,,,,,,f
2006,43,,no participo,,,,,,,,,f
2010,43,,no participo,,,,,,,,,f
2014,43,,no participo,,,,,,,,,f
2018,43,,no participo,,,,,,,,,f
2022,43,,no participo,,,,,,,,,f
2026,43,,no participo,,,,,,,,,f
1930,45,,no participo,,,,,,,,,f
1934,45,,no participo,,,,,,,,,f
1938,45,15,Octavos de Final,0,1,0,0,1,0,6,-6,t
1950,45,,no participo,,,,,,,,,f
1954,45,,no participo,,,,,,,,,f
1958,45,,no participo,,,,,,,,,f
1962,45,,no participo,,,,,,,,,f
1966,45,,no participo,,,,,,,,,f
1970,45,,no participo,,,,,,,,,f
1974,45,,no participo,,,,,,,,,f
1978,45,,no participo,,,,,,,,,f
1982,45,,no participo,,,,,,,,,f
1986,45,,no participo,,,,,,,,,f
1990,45,,no participo,,,,,,,,,f
1994,45,,no participo,,,,,,,,,f
1998,45,,no participo,,,,,,,,,f
2002,45,,no participo,,,,,,,,,f
2006,45,,no participo,,,,,,,,,f
2010,45,,no participo,,,,,,,,,f
2014,45,,no participo,,,,,,,,,f
2018,45,,no participo,,,,,,,,,f
2022,45,,no participo,,,,,,,,,f
2026,45,,no participo,,,,,,,,,f
1930,46,,no participo,,,,,,,,,f
1934,46,,no participo,,,,,,,,,f
1938,46,,no participo,,,,,,,,,f
1950,46,8,Grupos 1ra Ronda,2,3,1,0,2,2,2,0,t
1954,46,7,Cuartos de Final,3,3,1,1,1,8,8,0,t
1958,46,11,Grupos 1ra Ronda,3,4,0,3,1,4,5,-1,t
1962,46,8,Cuartos de Final,3,4,1,1,2,5,6,-1,t
1966,46,1,Final,11,6,5,1,0,11,3,8,t
1970,46,8,Cuartos de Final,4,4,2,0,2,4,4,0,t
1974,46,,no participo,,,,,,,,,f
1978,46,,no participo,,,,,,,,,f
1982,46,6,Grupos 2da Ronda,8,5,3,2,0,6,1,5,t
1986,46,8,Cuartos de Final,5,5,2,1,2,7,3,4,t
1990,46,4,Partido 3er Puesto,9,7,3,3,1,8,6,2,t
1994,46,,no participo,,,,,,,,,f
1998,46,9,Octavos de Final,7,4,2,1,1,7,4,3,t
2002,46,6,Cuartos de Final,8,5,2,2,1,6,3,3,t
2006,46,7,Cuartos de Final,11,5,3,2,0,6,2,4,t
2010,46,13,Octavos de Final,5,4,1,2,1,3,5,-2,t
2014,46,26,Grupos 1ra Ronda,1,3,0,1,2,2,4,-2,t
2018,46,4,Partido 3er Puesto,10,7,3,1,3,12,8,4,t
2022,46,6,Cuartos de Final,10,5,3,1,1,13,4,9,t
2026,46,,clasificado,0,0,0,0,0,0,0,0,t
1930,50,,no participo,,,,,,,,,f
1934,50,,no participo,,,,,,,,,f
1938,50,,no participo,,,,,,,,,f
1950,50,,no participo,,,,,,,,,f
1954,50,,no participo,,,,,,,,,f
1958,50,,no participo,,,,,,,,,f
1962,50,,no participo,,,,,,,,,f
1966,50,,no participo,,,,,,,,,f
1970,50,,no participo,,,,,,,,,f
1974,50,,no participo,,,,,,,,,f
1978,50,14,Grupos 1ra Ronda,1,3,0,1,2,2,8,-6,t
1982,50,,no participo,,,,,,,,,f
1986,50,,no participo,,,,,,,,,f
1990,50,,no participo,,,,,,,,,f
1994,50,,no participo,,,,,,,,,f
1998,50,20,Grupos 1ra Ronda,3,3,1,0,2,2,4,-2,t
2002,50,,no participo,,,,,,,,,f
2006,50,26,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4,t
2010,50,,no participo,,,,,,,,,f
2014,50,28,Grupos 1ra Ronda,1,3,0,1,2,1,4,-3,t
2018,50,18,Grupos 1ra Ronda,4,3,1,1,1,2,2,0,t
2022,50,26,Grupos 1ra Ronda,3,3,1,0,2,4,7,-3,t
2026,50,,clasificado,0,0,0,0,0,0,0,0,t
1930,47,,no participo,,,,,,,,,f
1934,47,,no participo,,,,,,,,,f
1938,47,,no participo,,,,,,,,,f
1950,47,,no participo,,,,,,,,,f
1954,47,,no participo,,,,,,,,,f
1958,47,,no participo,,,,,,,,,f
1962,47,,no participo,,,,,,,,,f
1966,47,,no participo,,,,,,,,,f
1970,47,,no participo,,,,,,,,,f
1974,47,,no participo,,,,,,,,,f
1978,47,,no participo,,,,,,,,,f
1982,47,,no participo,,,,,,,,,f
1986,47,23,Grupos 1ra Ronda,0,3,0,0,3,1,4,-3,t
1990,47,,no participo,,,,,,,,,f
1994,47,,no participo,,,,,,,,,f
1998,47,,no participo,,,,,,,,,f
2002,47,,no participo,,,,,,,,,f
2006,47,,no participo,,,,,,,,,f
2010,47,,no participo,,,,,,,,,f
2014,47,,no participo,,,,,,,,,f
2018,47,,no participo,,,,,,,,,f
2022,47,,no participo,,,,,,,,,f
2026,47,,,,,,,,,,,t
1930,49,,no participo,,,,,,,,,f
1934,49,,no participo,,,,,,,,,f
1938,49,,no participo,,,,,,,,,f
1950,49,,no participo,,,,,,,,,f
1954,49,,no participo,,,,,,,,,f
1958,49,7,Cuartos de Final,5,5,2,1,2,6,10,-4,t
1962,49,,no participo,,,,,,,,,f
1966,49,,no participo,,,,,,,,,f
1970,49,,no participo,,,,,,,,,f
1974,49,,no participo,,,,,,,,,f
1978,49,,no participo,,,,,,,,,f
1982,49,9,Grupos 2da Ronda,5,5,1,3,1,5,7,-2,t
1986,49,21,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4,t
1990,49,,no participo,,,,,,,,,f
1994,49,,no participo,,,,,,,,,f
1998,49,,no participo,,,,,,,,,f
2002,49,,no participo,,,,,,,,,f
2006,49,,no participo,,,,,,,,,f
2010,49,,no participo,,,,,,,,,f
2014,49,,no participo,,,,,,,,,f
2018,49,,no participo,,,,,,,,,f
2022,49,,no participo,,,,,,,,,f
2026,49,,,,,,,,,,,t
1930,48,,no participo,,,,,,,,,f
1934,48,,no participo,,,,,,,,,f
1938,48,,no participo,,,,,,,,,f
1950,48,,no participo,,,,,,,,,f
1954,48,,no participo,,,,,,,,,f
1958,48,,no participo,,,,,,,,,f
1962,48,,no participo,,,,,,,,,f
1966,48,,no participo,,,,,,,,,f
1970,48,,no participo,,,,,,,,,f
1974,48,,no participo,,,,,,,,,f
1978,48,,no participo,,,,,,,,,f
1982,48,,no participo,,,,,,,,,f
1986,48,,no participo,,,,,,,,,f
1990,48,8,Cuartos de Final,4,5,0,4,1,2,3,-1,t
1994,48,16,Octavos de Final,4,4,1,1,2,2,4,-2,t
1998,48,,no participo,,,,,,,,,f
2002,48,12,Octavos de Final,6,4,1,3,0,6,3,3,t
2006,48,,no participo,,,,,,,,,f
2010,48,,no participo,,,,,,,,,f
2014,48,,no participo,,,,,,,,,f
2018,48,,no participo,,,,,,,,,f
