jugador_id,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,altura,apodo,sitio_web,redes_sociales
37,Sergio Busquets,Sergio Busquets Burgos,16 de julio de 1988,"Sabadell, Barcelona, España","1.89 m / 6' 2""",,,Twitter: @5sergiob / Instagram: @5sergiob
38,Gerd Mueller,,3 de noviembre de 1945,,,,,
39,Thiago Silva,Thiago Emiliano da Silva,22 de septiembre de 1984,,"1.83 m / 6' 0""",,,
40,Antoine Griezmann,Antoine Griezmann,21 de marzo de 1991,"Mâcon, Francia","1.73 m / 5' 8""",,,Twitter: @AntoGriezmann
41,Diego Godin,Diego Roberto Godín Leal,16 de febrero de 1986,,"1.85 m / 6' 1""",,,
42,Pablo Aimar,,3 de noviembre de 1979,,"1.70 m / 5' 6""",,,
43,Cuauhtemoc Blanco,,17 de enero de 1973,,"1.78 m / 5' 10""",,,
44,Javier Hernandez,Javier Hernández Balcázar,1 de junio de 1988,"Guadalajara, México","1.75 m / 5' 9""",Chicharito,,Twitter: @CH14_ / Instagram: @ch14_ / TikTok: @chicha14_
45,Edinson Cavani,Edinson Roberto Cavani Gómez,14 de febrero de 1987,"Salto, Uruguay","1.84 m / 6' 0""",,http://www.edicavaniofficial.com,Twitter: @ECavaniOfficial / Instagram: @cavaniofficial21 / Facebook: @EdiCavaniOfficial
46,Jordi Alba,Jordi Alba Ramos,21 de marzo de 1989,"Hospitalet de Llobregat, Barcelona, España","1.70 m / 5' 7""",,http://www.jordialba.com,Twitter: @JordiAlba / Instagram: @jordialbaoficial / Facebook: @jordialbaofficial
47,Carlos Vela,Carlos Alberto Vela Garrido,1 de marzo de 1989,,"1.79 m / 5' 10""",,,
48,Carlos Tevez,Carlos Alberto Martínez Tevez,5 de febrero de 1984,"Ciudadela, Buenos Aires, Argentina","1.73 m / 5' 8""",El Apache,,Instagram: @__carlitostevez / TikTok: @__carlitostevez
49,Zlatan Ibrahimovic,,3 de octubre de 1981,"Malmo, Suecia","1.95 m / 6' 5""",,,Twitter: @Ibra_official / Instagram: @iamzlatanibrahimovic / Facebook: @ZlatanIbrahimovic / TikTok: @zlatanibrahimovic
50,Diego Forlan,,19 de mayo de 1979,,"1.81 m / 5' 11""",,,
51,"Los Mundiales de Fútbol, Página No Encontrada",,,,,,,
52,Los Mundiales de Fútbol: Toda la informacion sobre el Mundial,,,,,,,
53,Jude Bellingham,,29-Jun-2003,,"1.86 m / 6' 1""",,,
54,Bukayo Saka,,05-Sep-2001,,"1.78 m / 5' 10""",,,
55,Raheem Sterling,,08-Dic-1994,,"1.70 m / 5' 7""",,,
56,Mehdi Taremi,,18-Jul-1992,,"1.85 m / 6' 1""",,,
57,Marcus Rashford,,31-Oct-1997,,"1.80 m / 5' 11""",,,
58,Jack Grealish,,10-Sep-1995,,"1.75 m / 5' 9""",,,
59,Cody Gakpo,,07-May-1999,,"1.93 m / 6' 4""",,,
60,Davy Klaassen,,21-Feb-1993,,"1.79 m / 5' 10""",,,
61,Tim Weah,,22-Feb-2000,,"1.82 m / 5' 12""",,,
62,Gareth Bale,,16-Jul-1989,,"1.86 m / 6' 1""",,,
63,Saleh Al-Shehri,,01-Nov-1993,,"1.84 m / 6' 0""",,,
64,Salem Al-Dawsari,,19-Ago-1991,,"1.72 m / 5' 8""",,,
65,Craig Goodwin,,16-Dic-1991,,"1.83 m / 6' 0""",,,
66,Adrien Rabiot,,03-Apr-1995,,"1.91 m / 6' 3""",,,
67,Olivier Giroud,,,,,,,
68,Ilkay Gündogan,,24-Oct-1990,,"1.80 m / 5' 11""",,,
69,Ritsu Doan,,16-Jun-1998,,"1.72 m / 5' 8""",,,
70,Takuma Asano,,10-Nov-1994,,"1.73 m / 5' 8""",,,
71,Dani Olmo,,07-May-1998,,"1.79 m / 5' 10""",,,
72,Marco Asensio,,21-Ene-1996,,"1.75 m / 5' 9""",,,
73,Ferran Torres,,29-Feb-2000,,"1.84 m / 6' 0""",,,
74,Gavi,,05-Ago-2004,,"1.73 m / 5' 8""",,,
75,Carlos Soler,,02-Ene-1997,,"1.80 m / 5' 11""",,,
76,Michy Batshuayi,,02-Oct-1993,,"1.85 m / 6' 1""",,,
77,Breel Embolo,,14-Feb-1997,,"1.84 m / 6' 0""",,,
78,Andre Ayew,,17-Dic-1989,,"1.75 m / 5' 9""",,,
79,João Félix,,10-Nov-1999,,"1.81 m / 5' 11""",,,
80,Rafael Leão,,10-Jun-1999,,"1.88 m / 6' 2""",,,
81,Osman Bukari,,13-Dic-1998,,"1.70 m / 5' 7""",,,
82,Richarlison,,10-May-1997,,"1.84 m / 6' 0""",,,
83,Rouzbeh Cheshmi,,24-Jul-1993,,"1.94 m / 6' 4""",,,
84,Ramin Rezaeian,,21-Mar-1990,,"1.84 m / 6' 0""",,,
85,Boulaye Dia,,16-Nov-1996,,"1.80 m / 5' 11""",,,
86,Famara Diéhiou,,15-Dic-1992,,"1.92 m / 6' 4""",,,
87,Mohammed Muntari,,20-Dic-1993,,"1.82 m / 5' 12""",,,
88,Bamba Dieng,,23-Mar-2000,,"1.78 m / 5' 10""",,,
89,Mitchell Duke,,18-Ene-1991,,"1.82 m / 5' 12""",,,
90,Piotr Zieliński,,20-May-1994,,"1.77 m / 5' 10""",,,
91,Andreas Christensen,,10-Apr-1996,,"1.92 m / 6' 4""",,,
92,Enzo Fernandez,,17-Ene-2001,,"1.78 m / 5' 10""",,,
93,Keysher Fuller,,12-Jul-1994,,"1.83 m / 6' 0""",,,
94,Romain Saïss,,26-Mar-1990,,"1.90 m / 6' 3""",,,
95,Zakaria Aboukhlal,,18-Feb-2000,,"1.79 m / 5' 10""",,,
96,Alphonso Davies,,02-Nov-2000,,"1.83 m / 6' 0""",,,
97,Andrej Kramarić,,19-Jun-1991,,"1.77 m / 5' 10""",,,
98,Marko Livaja,,26-Ago-1993,,"1.82 m / 5' 12""",,,
99,Lovro Majer,,17-Ene-1998,,"1.78 m / 5' 10""",,,
100,Niclas Füllkrug,,09-Feb-1993,,"1.88 m / 6' 2""",,,
101,Jean-Charles Castelletto,,26-Ene-1995,,"1.86 m / 6' 1""",,,
102,Strahinja Pavlovic,,24-May-2001,,"1.94 m / 6' 4""",,,
103,Sergej Milinković-Savić,,27-Feb-1995,,"1.92 m / 6' 4""",,,
104,Aleksandar Mitrović,,16-Sep-1994,,"1.89 m / 6' 2""",,,
105,Vincent Aboubakar,,22-Ene-1992,,"1.76 m / 5' 9""",,,
106,Eric Maxim Choupo Moting,,23-Mar-1989,,"1.91 m / 6' 3""",,,
107,Mohammed Salisu,,17-Apr-1999,,"1.91 m / 6' 3""",,,
108,Mohammed Kudus,,02-Ago-2000,,"1.75 m / 5' 9""",,,
109,Gue-sung Cho,,25-Ene-1998,,"1.88 m / 6' 2""",,,
110,Casemiro,,23-Feb-1992,,"1.95 m / 6' 5""",,,
111,Bruno Fernandes,,08-Sep-1994,,"1.83 m / 6' 0""",,,
112,Frenkie de Jong,,12-May-1997,,"1.81 m / 5' 11""",,,
