anio,grupo,posicion,seleccion,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
1970,1,2,México,5,3,2,1,0,5,0,5,True
1970,1,3,Bélgica,2,3,1,0,2,4,5,-1,False
1970,1,4,El Salvador,0,3,0,0,3,0,9,-9,False
1970,2,1,Italia,4,3,1,2,0,1,0,1,True
1970,2,2,Uruguay,3,3,1,1,1,2,1,1,True
1970,2,3,Suecia,3,3,1,1,1,2,2,0,False
1970,2,4,Israel,2,3,0,2,1,1,3,-2,False
1970,3,1,Brasil,6,3,3,0,0,8,3,5,True
1970,3,2,Inglaterra,4,3,2,0,1,2,1,1,True
1970,3,3,Rumania,2,3,1,0,2,4,5,-1,False
1970,3,4,Checoslovaquia,0,3,0,0,3,2,7,-5,False
1970,4,1,Alemania Occidental,6,3,3,0,0,10,4,6,True
1970,4,2,Perú,4,3,2,0,1,7,5,2,True
1970,4,3,Bulgaria,1,3,0,1,2,5,9,-4,False
1970,4,4,Marruecos,1,3,0,1,2,2,6,-4,False
1966,1,1,Inglaterra,5,3,2,1,0,4,0,4,True
1966,1,2,Uruguay,4,3,1,2,0,2,1,1,True
1966,1,3,México,2,3,0,2,1,1,3,-2,False
1966,1,4,Francia,1,3,0,1,2,2,5,-3,False
