cambio_id,partido_id,seleccion_id,jugador_sale_id,jugador_entra_id,minuto
1287,194,135,3873,1696,63
1288,194,135,175,2006,74
1289,194,135,1816,3874,87
1290,194,37,3880,430,72
1291,194,37,1769,372,75
1292,194,37,3879,3881,85
1293,195,5,2220,422,74
1294,195,5,322,3890,79
1295,195,5,150,3889,85
1296,195,112,3899,3900,52
1297,195,112,1736,281,60
1298,195,112,3895,344,75
1299,196,21,1618,1773,74
1300,196,21,373,3910,87
1301,196,21,348,3909,90+1
1302,196,40,3612,3921,46
1303,196,40,305,345,59
1304,196,40,3920,3922,61
1305,197,46,1700,3933,31
1306,197,46,3931,1703,46
1307,197,46,557,1830,79
1308,197,36,1704,3939,77
1309,197,36,1777,3938,86
1310,198,4,3953,1706,58
1311,198,4,3950,3955,81
1312,198,4,3952,3954,82
1313,198,34,1776,351,53
1314,198,34,350,3965,84
1315,198,34,1705,1707,87
1316,199,1,6,332,68
1317,199,1,320,3481,74
1318,199,1,331,3976,81
1319,199,6,1846,354,46
1320,199,6,3984,3985,64
1321,199,6,1783,159,74
1322,200,126,3989,1713,62
1323,200,126,444,3991,69
1324,200,126,349,1738,76
1325,200,39,3794,455,73
1326,200,39,389,1745,90+1
1327,200,39,283,4000,90+3
1328,201,115,1792,4007,67
1329,201,115,243,4006,77
1330,201,115,1715,4005,88
1331,201,27,4016,4017,56
1332,201,27,356,4018,62
1333,201,27,4015,176,73
1334,202,55,1810,302,69
1335,202,55,3635,4027,82
1336,202,55,1543,523,88
1337,202,14,293,4033,63
1338,202,14,3561,2053,75
1339,202,14,94,4034,75
1340,203,53,23,4041,46
1341,203,53,258,1719,59
1342,203,53,427,379,72
1343,203,117,4049,1819,60
1344,203,117,1829,489,68
1345,203,117,2653,2655,76
1346,204,114,4061,4063,72
1347,204,114,4058,4062,78
1348,204,33,1752,4079,81
1349,204,33,337,4078,84
1350,204,33,1753,1806,90+1
1351,205,23,386,363,66
1352,205,23,254,1920,82
1353,205,23,1833,385,89
1354,205,120,4095,365,55
1355,205,120,426,367,62
1356,205,120,364,3789,85
1357,206,10,340,10,73
1358,206,10,416,4098,78
1359,206,10,1794,1620,84
1360,206,20,4110,4113,80
1361,207,42,4128,4129,60
1362,207,42,4127,1797,66
1363,207,42,4125,4130,78
1364,207,17,388,2645,52
1365,207,17,1625,4134,81
1366,207,17,247,369,87
1367,208,35,28,299,61
1368,208,35,3284,4138,62
1369,208,35,387,2629,77
1370,208,129,463,3677,36
1371,208,129,4143,1728,79
1372,208,129,432,4144,92
1373,209,127,3855,3864,57
1374,209,127,1729,3857,79
1375,209,135,1767,3876,71
1376,209,135,36,3877,89
1377,209,135,1816,1605,90
1378,210,37,3880,3881,46
1379,210,37,3879,278,69
1380,210,111,38,3870,31
1381,210,111,1692,35,55
1382,210,111,1731,34,62
1383,211,40,316,305,37
1384,211,40,2649,3928,79
1385,211,112,281,1736,46
1386,211,112,3895,3903,55
1387,211,112,3903,3902,77
1388,212,5,1987,3889,23
1389,212,5,391,161,75
