anio,jugador_id,seleccion_id,goles
2022,3,37,1
2022,1,5,1
2022,111,5,0
2022,11,37,0
2022,47,63,0
2022,63,35,0
2022,138,68,0
2022,45,46,0
2022,70,10,0
2022,42,46,0
2022,16,28,1
2022,93,14,0
2022,52,3,0
2022,97,21,0
2022,120,83,1
2022,56,55,0
2022,65,77,0
2022,113,58,0
2022,99,68,0
2022,88,1,0
2022,119,1,1
2022,18,46,0
2022,85,24,0
2022,96,39,0
2022,68,68,0
2022,5,67,0
2022,92,74,0
2022,12,10,0
2022,44,50,0
2022,60,35,0
2022,142,63,0
2022,83,58,0
2022,140,77,0
2022,51,3,0
2022,57,55,0
2022,59,35,0
2022,66,39,0
2022,50,38,0
2022,64,12,0
2022,41,46,0
2022,128,63,0
2022,69,39,0
2022,102,28,0
2022,98,10,0
2022,89,14,0
2022,109,59,0
2022,71,50,0
2022,94,14,0
2022,79,27,0
2022,148,58,0
2022,84,15,0
2022,100,63,0
2022,127,63,0
2022,150,5,0
2022,73,73,0
2022,74,73,0
2022,76,73,0
2022,77,6,0
2022,130,63,0
2022,67,68,0
2022,80,5,0
2022,104,46,0
2022,126,77,0
2022,81,22,0
2022,61,35,0
2022,116,1,0
2022,53,6,0
2022,46,46,0
2022,139,68,0
2022,55,1,0
2022,147,24,0
2022,132,46,0
2022,145,37,0
2022,121,68,0
2022,123,21,0
2022,107,81,0
2022,122,21,0
2022,48,63,0
2022,146,37,0
2022,103,73,0
2022,106,6,0
2022,86,24,0
2022,110,5,0
2022,133,55,0
2022,87,24,0
2022,108,59,0
2022,91,74,0
2022,141,5,0
2022,75,16,0
2022,58,35,0
2022,149,24,0
2022,137,21,1
2022,136,10,0
2022,90,74,0
2022,24,68,0
2022,134,24,0
2022,143,24,0
2022,105,36,0
2022,54,37,0
2022,72,50,0
2022,2,68,0
2022,82,58,0
2022,95,39,0
2022,101,73,0
2022,124,77,0
2022,62,35,0
2022,43,46,0
2022,115,55,0
2022,144,37,0
2022,117,22,0
2022,118,22,1
2022,135,10,0
2022,125,74,0
2022,49,36,0
2022,129,36,0
2022,78,67,0
2022,112,58,0
2018,18,46,1
2018,152,72,0
2018,31,37,0
2018,169,12,0
2018,3,37,0
2018,2,68,1
2018,36,83,0
2018,156,35,0
2018,153,72,0
2018,184,12,0
2018,223,24,0
2018,189,19,1
2018,134,24,0
2018,161,5,0
2018,167,76,0
2018,193,55,0
2018,159,6,0
2018,107,81,0
2018,7,24,0
2018,179,60,0
2018,12,10,0
2018,164,10,0
2018,174,29,1
2018,212,21,0
2018,186,46,0
2018,175,83,0
2018,52,3,0
2018,197,3,0
2018,235,46,0
2018,1501,50,0
2018,200,35,0
2018,213,76,0
2018,205,24,0
2018,188,64,1
2018,64,12,0
2018,218,67,0
2018,217,81,0
2018,198,58,0
2018,185,81,0
2018,201,66,0
2018,227,12,0
2018,191,19,0
2018,230,12,0
2018,150,5,0
2018,210,77,0
2018,208,77,0
2018,113,58,1
2018,176,27,0
2018,190,19,0
2018,226,12,0
2018,233,72,0
2018,162,51,0
2018,228,76,0
2018,151,72,0
2018,155,83,0
2018,154,72,0
2018,202,66,0
2018,224,55,0
2018,35,59,0
2018,195,55,0
2018,199,35,0
2018,215,12,1
2018,222,27,0
2018,170,55,0
2018,122,21,0
2018,166,74,0
2018,85,24,0
2018,183,1,0
2018,1449,67,0
2018,187,46,0
2018,2690,59,0
2018,234,46,0
2018,192,73,0
2018,219,5,0
2018,168,12,0
2018,1,5,0
2018,238,12,0
2018,92,74,0
2018,203,60,0
2018,157,35,0
2018,1540,73,0
2018,172,55,0
2018,207,10,0
2018,220,37,0
2018,24,68,0
2018,317,37,0
2018,2691,68,0
2018,171,19,0
2018,178,24,0
2018,177,24,0
2018,231,10,0
2018,182,1,0
2018,2692,10,0
2018,204,5,0
2018,1396,81,0
2018,124,77,0
2018,206,51,0
2018,30,10,0
2018,181,76,0
2018,237,46,0
2018,236,37,0
2018,2693,37,0
2018,38,59,0
2018,225,12,0
2018,232,24,0
2018,194,73,0
2018,209,22,1
2018,180,77,0
2018,1527,27,0
2018,165,77,0
2014,252,19,1
2014,15,1,0
2014,1,5,0
2014,12,10,0
2014,243,63,0
2014,13,37,0
2014,244,63,0
2014,319,1,0
2014,124,77,0
2014,16,28,1
2014,66,39,0
2014,253,23,0
2014,248,6,1
2014,312,10,0
2014,267,36,0
2014,127,63,0
2014,290,4,0
2014,254,23,0
2014,282,1,0
2014,283,39,0
