anio,seleccion,seleccion_slug,jugador,jugador_slug,posicion,camiseta,fecha_nacimiento,altura,club,rol
1978,Italia,italia,Paolo Rossi,paolo_rossi,DL,21,23-Sep-1956,,23-Sep-1956,jugador
1978,Italia,italia,Enzo Bearzot,,DT,,,,,entrenador
1970,Alemania Occidental,alemania_occidental,Sepp Maier,sepp_maier,AR,1,28-Feb-1944,,28-Feb-1944,jugador
1970,Alemania Occidental,alemania_occidental,Manfred Manglitz,manfred_manglitz,AR,21,08-Mar-1940,,08-Mar-1940,jugador
1970,Alemania Occidental,alemania_occidental,Horst Wolter,horst_wolter,AR,22,08-Jun-1942,,08-Jun-1942,jugador
1970,Alemania Occidental,alemania_occidental,Horst-Dieter Hoettges,horst_dieter_hoettges,DF,2,10-Sep-1943,,10-Sep-1943,jugador
1970,Alemania Occidental,alemania_occidental,Karl-Heinz Schnellinger,karl_heinz_schnellinger,DF,3,31-Mar-1939,,31-Mar-1939,jugador
1970,Alemania Occidental,alemania_occidental,Franz Beckenbauer,franz_beckenbauer,DF,4,11-Sep-1945,"1.81 m / 5' 11""","11-Sep-1945 1.81 m / 5' 11""",jugador
1970,Alemania Occidental,alemania_occidental,Willi Schulz,willi_schulz,DF,5,04-Oct-1938,,04-Oct-1938,jugador
1970,Alemania Occidental,alemania_occidental,Wolfgang Weber,wolfgang_weber,DF,6,26-Jun-1944,,26-Jun-1944,jugador
1970,Alemania Occidental,alemania_occidental,Berti Vogts,berti_vogts,DF,7,30-Dic-1946,,30-Dic-1946,jugador
1970,Alemania Occidental,alemania_occidental,Klaus Fichtel,klaus_fichtel,DF,11,19-Nov-1944,,19-Nov-1944,jugador
1970,Alemania Occidental,alemania_occidental,Bernd Patzke,bernd_patzke,DF,15,14-Mar-1943,,14-Mar-1943,jugador
1970,Alemania Occidental,alemania_occidental,Max Lorenz,max_lorenz,DF,16,19-Ago-1939,,19-Ago-1939,jugador
1970,Alemania Occidental,alemania_occidental,Klaus-Dieter Sieloff,klaus_dieter_sieloff,DF,18,27-Feb-1942,,27-Feb-1942,jugador
1970,Alemania Occidental,alemania_occidental,Helmut Haller,helmut_haller,MC,8,21-Jul-1939,,21-Jul-1939,jugador
1970,Alemania Occidental,alemania_occidental,Wolfgang Overath,wolfgang_overath,MC,12,29-Sep-1943,,29-Sep-1943,jugador
1970,Alemania Occidental,alemania_occidental,Peter Dietrich,peter_dietrich,MC,19,06-Mar-1944,,06-Mar-1944,jugador
1970,Alemania Occidental,alemania_occidental,Uwe Seeler,uwe_seeler,DL,9,05-Nov-1936,,05-Nov-1936,jugador
1970,Alemania Occidental,alemania_occidental,Sigi Held,sigi_held,DL,10,07-Ago-1942,,07-Ago-1942,jugador
1970,Alemania Occidental,alemania_occidental,Gerd Mueller,gerd_mueller,DL,13,03-Nov-1945,,03-Nov-1945,jugador
1970,Alemania Occidental,alemania_occidental,Stan Libuda,stan_libuda,DL,14,10-Oct-1943,,10-Oct-1943,jugador
1970,Alemania Occidental,alemania_occidental,Hennes Loehr,hennes_loehr,DL,17,05-Jul-1942,,05-Jul-1942,jugador
1970,Alemania Occidental,alemania_occidental,Juergen Grabowski,juergen_grabowski,DL,20,07-Jul-1944,,07-Jul-1944,jugador
1970,Alemania Occidental,alemania_occidental,Helmut Schoen,,DT,,,,,entrenador
1970,Bélgica,belgica,Christian Piot,christian_piot,AR,1,04-Oct-1947,,04-Oct-1947,jugador
1970,Bélgica,belgica,Jean-Maire Trappeniers,jean_maire_trappeniers,AR,12,13-Ene-1942,,13-Ene-1942,jugador
1970,Bélgica,belgica,Jacques Duquesne,jacques_duquesne,AR,22,22-Apr-1940,,22-Apr-1940,jugador
1970,Bélgica,belgica,Georges Heylens,georges_heylens,DF,2,08-Ago-1941,,08-Ago-1941,jugador
1970,Bélgica,belgica,Jean Thissen,jean_thissen,DF,3,21-Apr-1946,,21-Apr-1946,jugador
1970,Bélgica,belgica,Nicolas Dewalque,nicolas_dewalque,DF,4,20-Sep-1945,,20-Sep-1945,jugador
1970,Bélgica,belgica,Leon Jeck,leon_jeck,DF,5,09-Feb-1947,,09-Feb-1947,jugador
1970,Bélgica,belgica,Jacques Beurlet,jacques_beurlet,DF,13,21-Dic-1944,,21-Dic-1944,jugador
1970,Bélgica,belgica,Maurice Martens,maurice_martens,DF,14,05-Jun-1947,,05-Jun-1947,jugador
1970,Bélgica,belgica,Alfonse Peeters,alfonse_peeters,DF,20,21-Ene-1943,,21-Ene-1943,jugador
1970,Bélgica,belgica,Jan Dockx,jan_dockx,MC,6,24-May-1941,,24-May-1941,jugador
1970,Bélgica,belgica,Leon Semmeling,leon_semmeling,MC,7,04-Ene-1940,,04-Ene-1940,jugador
1970,Bélgica,belgica,Wilfried Van Moer,wilfried_van_moer,MC,8,01-Mar-1945,,01-Mar-1945,jugador
1970,Bélgica,belgica,Erwin Van Den Daele,erwin_van_den_daele,MC,15,05-Mar-1945,,05-Mar-1945,jugador
1970,Bélgica,belgica,Jan Verheyen,jan_verheyen,MC,17,09-Jul-1944,,09-Jul-1944,jugador
1970,Bélgica,belgica,Johannes Devrindt,johannes_devrindt,DL,9,14-Apr-1944,,14-Apr-1944,jugador
1970,Bélgica,belgica,Paul Van Himst,paul_van_himst,DL,10,02-Oct-1943,,02-Oct-1943,jugador
1970,Bélgica,belgica,Wilfried Puis,wilfried_puis,DL,11,18-Feb-1943,,18-Feb-1943,jugador
1970,Bélgica,belgica,Odilon Polleunis,odilon_polleunis,DL,16,01-May-1943,,01-May-1943,jugador
1970,Bélgica,belgica,Raoul Lambert,raoul_lambert,DL,18,20-Oct-1944,,20-Oct-1944,jugador
1970,Bélgica,belgica,Pierre Carteus,pierre_carteus,DL,19,24-Sep-1943,,24-Sep-1943,jugador
1970,Bélgica,belgica,Francois Janssens,francois_janssens,DL,21,25-Sep-1945,,25-Sep-1945,jugador
1970,Bélgica,belgica,Raymond Goethals,,DT,,,,,entrenador
1970,Brasil,brasil,Felix,felix,AR,1,24-Dic-1937,,24-Dic-1937,jugador
1970,Brasil,brasil,Ado,ado,AR,12,04-Jul-1944,,04-Jul-1944,jugador
1970,Brasil,brasil,Leao,leao,AR,22,11-Jul-1949,,11-Jul-1949,jugador
1970,Brasil,brasil,Brito,brito,DF,2,09-Ago-1939,,09-Ago-1939,jugador
1970,Brasil,brasil,Wilson Piazza,wilson_piazza,DF,3,25-Feb-1943,,25-Feb-1943,jugador
1970,Brasil,brasil,Carlos Alberto,carlos_alberto,DF,4,17-Jul-1944,,17-Jul-1944,jugador
