anio,premio,seleccion_id
2022,FIFA Fair Play,46
2018,FIFA Fair Play,35
2014,FIFA Fair Play,19
2010,FIFA Fair Play,35
2006,FIFA Fair Play,35
2006,Equipo Más Entretenido,120
2002,FIFA Fair Play,12
2002,Equipo Más Entretenido,21
1998,FIFA Fair Play,46
1998,Equipo Más Entretenido,37
1994,FIFA Fair Play,10
1994,Equipo Más Entretenido,10
1990,FIFA Fair Play,46
1986,FIFA Fair Play,10
1982,FIFA Fair Play,10
1978,FIFA Fair Play,5
1970,FIFA Fair Play,118
