tarjeta_id,partido_id,seleccion_id,jugador_id,tipo,minuto
1966,505,70,771,amarilla,30
1967,505,36,2357,amarilla,39
1968,505,36,2358,amarilla,44
1969,505,36,658,roja,52
1970,505,70,2359,amarilla,62
1971,506,10,2360,amarilla,38
1972,506,10,715,amarilla,60
1973,506,76,2361,amarilla,83
1974,506,10,2343,amarilla,88
1975,507,1,772,amarilla,6
1976,509,46,2362,amarilla,75
1977,510,21,814,amarilla,39
1978,511,29,2363,amarilla,55
1979,511,63,733,amarilla,58
1980,512,83,2364,amarilla,10
1981,512,35,2365,amarilla,24
1982,512,35,2366,amarilla,68
1983,512,83,2367,amarilla,80
1984,514,85,609,amarilla,85
1985,515,36,2368,amarilla,62
1986,515,53,2369,amarilla,68
1987,516,14,2370,amarilla,20
1988,516,71,2371,amarilla,44
1989,516,14,2372,amarilla,68
1990,518,31,2355,amarilla,26
1991,518,1,772,amarilla,30
1992,518,31,2373,amarilla,30
1993,519,22,2374,amarilla,16
1994,519,22,2375,amarilla,59
1995,519,10,2334,amarilla,88
1996,519,10,2360,amarilla,90
1997,520,76,2329,amarilla,59
1998,520,32,2376,amarilla,68
1999,522,48,2377,amarilla,51
2000,522,29,2378,amarilla,72
2001,523,12,2379,amarilla,35
2002,523,83,2380,amarilla,40
2003,523,12,2379,amarilla,42
2004,524,21,2381,amarilla,28
2005,524,21,2382,amarilla,51
2006,524,21,748,amarilla,68
2007,525,71,717,amarilla,4
2008,525,71,661,amarilla,8
2009,525,71,2270,amarilla,32
2010,525,5,2383,amarilla,73
2011,525,5,2384,amarilla,86
2012,526,14,2309,amarilla,61
2013,526,14,702,amarilla,66
2014,526,72,750,amarilla,75
2015,527,19,2247,amarilla,15
2016,527,19,2385,amarilla,30
2017,527,19,2248,amarilla,38
2018,527,1,2386,amarilla,63
2019,528,85,2387,amarilla,20
2020,528,31,2388,amarilla,36
2021,528,85,2389,amarilla,66
2022,528,31,2388,amarilla,76
2023,528,85,757,amarilla,76
2024,529,70,2390,amarilla,26
2025,529,70,721,amarilla,29
2026,529,53,574,amarilla,44
2027,529,53,2391,amarilla,70
2028,530,7,2392,amarilla,21
2029,530,36,724,amarilla,26
