anio,grupo,posicion,seleccion_id,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
1950,3,1,128,3,2,1,1,0,5,4,1,True
1950,3,2,53,2,2,1,0,1,4,3,1,False
1950,3,3,117,1,2,0,1,1,2,4,-2,False
1950,4,1,135,2,1,1,0,0,8,0,8,True
1950,4,2,8,0,1,0,0,1,0,8,-8,False
1930,1,1,5,6,3,3,0,0,10,4,6,True
1930,1,2,17,4,3,2,0,1,5,3,2,False
1930,1,3,37,2,3,1,0,2,4,3,1,False
1930,1,4,111,0,3,0,0,3,4,13,-9,False
1930,3,1,135,4,2,2,0,0,5,0,5,True
1930,3,2,123,2,2,1,0,1,3,5,-2,False
1930,3,3,118,0,2,0,0,2,1,4,-3,False
1930,4,1,36,4,2,2,0,0,6,0,6,True
1930,4,2,117,2,2,1,0,1,1,3,-2,False
1930,4,3,12,0,2,0,0,2,0,4,-4,False
