anio,grupo,posicion,seleccion_id,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
2014,C,2,40,4,3,1,1,1,2,4,-2,True
2014,C,3,23,3,3,1,0,2,4,5,-1,False
2014,C,4,55,1,3,0,1,2,2,6,-4,False
2014,E,1,37,7,3,2,1,0,8,2,6,True
2014,E,2,129,6,3,2,0,1,7,6,1,True
2014,E,3,28,4,3,1,1,1,3,3,0,False
2014,E,4,42,0,3,0,0,3,1,8,-7,False
2014,F,1,5,9,3,3,0,0,6,3,3,True
2014,F,2,112,4,3,1,1,1,3,3,0,True
2014,F,3,9,3,3,1,0,2,4,4,0,False
2014,F,4,50,1,3,0,1,2,1,4,-3,False
2014,G,1,1,7,3,2,1,0,7,2,5,True
2014,G,2,36,4,3,1,1,1,4,4,0,True
2014,G,3,120,4,3,1,1,1,4,7,-3,False
2014,G,4,39,1,3,0,1,2,4,6,-2,False
2014,H,1,12,9,3,3,0,0,4,1,3,True
2014,H,2,4,4,3,1,1,1,6,5,1,True
2014,H,3,124,2,3,0,2,1,2,3,-1,False
2014,H,4,21,1,3,0,1,2,3,6,-3,False
2010,A,1,135,7,3,2,1,0,4,0,4,True
2010,A,2,111,4,3,1,1,1,3,2,1,True
2010,A,3,127,4,3,1,1,1,3,5,-2,False
2010,A,4,37,1,3,0,1,2,1,4,-3,False
2010,B,1,5,9,3,3,0,0,7,1,6,True
2010,B,2,21,4,3,1,1,1,5,6,-1,True
2010,B,3,40,3,3,1,0,2,2,5,-3,False
2010,B,4,112,1,3,0,1,2,3,5,-2,False
2010,C,1,36,5,3,1,2,0,4,3,1,True
2010,C,2,46,5,3,1,2,0,2,1,1,True
2010,C,3,34,4,3,1,1,1,3,3,0,False
2010,C,4,4,1,3,0,1,2,0,2,-2,False
2010,D,1,1,6,3,2,0,1,5,1,4,True
2010,D,2,39,4,3,1,1,1,2,2,0,True
2010,D,3,6,4,3,1,1,1,3,6,-3,False
2010,D,4,126,3,3,1,0,2,2,3,-1,False
2010,E,1,115,9,3,3,0,0,5,1,4,True
2010,E,2,55,6,3,2,0,1,4,2,2,True
2010,E,3,27,3,3,1,0,2,3,6,-3,False
2010,E,4,14,0,3,0,0,3,2,5,-3,False
2010,F,1,117,5,3,1,2,0,3,1,2,True
2010,F,2,33,4,3,1,1,1,4,5,-1,True
2010,F,3,114,3,3,0,3,0,2,2,0,False
2010,F,4,53,2,3,0,2,1,4,5,-1,False
2010,G,1,10,7,3,2,1,0,5,2,3,True
2010,G,2,120,5,3,1,2,0,7,0,7,True
2010,G,3,23,4,3,1,1,1,4,3,1,False
2010,G,4,20,0,3,0,0,3,1,12,-11,False
2010,H,1,35,6,3,2,0,1,4,2,2,True
2010,H,2,17,6,3,2,0,1,3,2,1,True
2010,H,3,129,4,3,1,1,1,1,1,0,False
2010,H,4,42,1,3,0,1,2,0,3,-3,False
2006,A,1,1,9,3,3,0,0,8,2,6,True
2006,A,2,28,6,3,2,0,1,5,3,2,True
2006,A,3,119,3,3,1,0,2,2,4,-2,False
2006,A,4,22,0,3,0,0,3,3,9,-6,False
2006,B,1,46,7,3,2,1,0,5,2,3,True
2006,B,2,128,5,3,1,2,0,3,2,1,True
2006,B,3,117,3,3,1,0,2,2,2,0,False
2006,B,4,131,1,3,0,1,2,0,4,-4,False
2006,C,1,5,7,3,2,1,0,8,1,7,True
2006,C,2,115,7,3,2,1,0,3,1,2,True
2006,C,3,23,3,3,1,0,2,5,6,-1,False
2006,C,4,126,0,3,0,0,3,2,10,-8,False
2006,D,1,120,9,3,3,0,0,5,1,4,True
2006,D,2,111,4,3,1,1,1,4,3,1,True
2006,D,3,2,2,3,0,2,1,1,2,-1,False
2006,D,4,50,1,3,0,1,2,2,6,-4,False
2006,E,1,53,7,3,2,1,0,5,1,4,True
2006,E,2,39,6,3,2,0,1,4,3,1,True
2006,E,3,122,3,3,1,0,2,3,4,-1,False
2006,E,4,36,1,3,0,1,2,2,6,-4,False
2006,F,1,10,9,3,3,0,0,7,1,6,True
2006,F,2,6,4,3,1,1,1,5,5,0,True
2006,F,3,24,2,3,0,2,1,2,3,-1,False
2006,F,4,55,1,3,0,1,2,2,7,-5,False
2006,G,1,129,7,3,2,1,0,4,0,4,True
2006,G,2,37,5,3,1,2,0,3,1,2,True
2006,G,3,21,4,3,1,1,1,3,4,-1,False
2006,G,4,130,0,3,0,0,3,1,6,-5,False
2006,H,1,35,9,3,3,0,0,8,1,7,True
2006,H,2,134,6,3,2,0,1,5,4,1,True
2006,H,3,133,1,3,0,1,2,3,6,-3,False
2006,H,4,3,1,3,0,1,2,2,7,-5,False
2002,A,1,27,7,3,2,1,0,5,2,3,True
2002,A,2,125,5,3,1,2,0,5,4,1,True
2002,A,3,135,2,3,0,2,1,4,5,-1,False
2002,A,4,37,1,3,0,1,2,0,3,-3,False
2002,B,1,35,9,3,3,0,0,9,4,5,True
2002,B,2,117,4,3,1,1,1,6,6,0,True
2002,B,3,127,4,3,1,1,1,5,5,0,False
2002,B,4,34,0,3,0,0,3,2,7,-5,False
2002,C,1,10,9,3,3,0,0,11,3,8,True
2002,C,2,132,4,3,1,1,1,5,3,2,True
2002,C,3,22,4,3,1,1,1,5,6,-1,False
2002,C,4,18,0,3,0,0,3,0,9,-9,False
2002,E,1,1,7,3,2,1,0,11,1,10,True
2002,E,2,48,5,3,1,2,0,5,2,3,True
2002,E,3,14,4,3,1,1,1,2,3,-1,False
2002,E,4,3,0,3,0,0,3,0,12,-12,False
2002,F,1,128,5,3,1,2,0,4,3,1,True
2002,F,2,46,5,3,1,2,0,2,1,1,True
2002,F,3,5,4,3,1,1,1,2,2,0,False
2002,F,4,112,1,3,0,1,2,1,3,-2,False
2002,G,1,111,7,3,2,1,0,4,2,2,True
2002,G,2,53,4,3,1,1,1,4,3,1,True
2002,G,3,24,3,3,1,0,2,2,3,-1,False
