anio,seleccion_id,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,participo
1962,5,10.0,Grupos 1ra Ronda,3.0,3.0,1.0,1.0,1.0,2.0,3.0,-1.0,True
1966,5,5.0,Cuartos de Final,5.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,True
1970,5,,no participó,,,,,,,,,False
1974,5,8.0,Grupos 2da Ronda,4.0,6.0,1.0,2.0,3.0,9.0,12.0,-3.0,True
1978,5,1.0,Final,11.0,7.0,5.0,1.0,1.0,15.0,4.0,11.0,True
1982,5,11.0,Grupos 2da Ronda,4.0,5.0,2.0,0.0,3.0,8.0,7.0,1.0,True
1986,5,1.0,Final,13.0,7.0,6.0,1.0,0.0,14.0,5.0,9.0,True
1990,5,2.0,Final,7.0,7.0,2.0,3.0,2.0,5.0,4.0,1.0,True
1994,5,10.0,Octavos de Final,6.0,4.0,2.0,0.0,2.0,8.0,6.0,2.0,True
1998,5,6.0,Cuartos de Final,10.0,5.0,3.0,1.0,1.0,10.0,4.0,6.0,True
2002,5,18.0,Grupos 1ra Ronda,4.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,True
2006,5,6.0,Cuartos de Final,11.0,5.0,3.0,2.0,0.0,11.0,3.0,8.0,True
2010,5,5.0,Cuartos de Final,12.0,5.0,4.0,0.0,1.0,10.0,6.0,4.0,True
2014,5,2.0,Final,16.0,7.0,5.0,1.0,1.0,8.0,4.0,4.0,True
2018,5,16.0,Octavos de Final,4.0,4.0,1.0,1.0,2.0,6.0,9.0,-3.0,True
2022,5,1.0,Final,14.0,7.0,4.0,2.0,1.0,15.0,8.0,7.0,True
2026,5,,clasificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1930,6,,no participó,,,,,,,,,False
1934,6,,no participó,,,,,,,,,False
1938,6,,no participó,,,,,,,,,False
1950,6,,no participó,,,,,,,,,False
1954,6,,no participó,,,,,,,,,False
1958,6,,no participó,,,,,,,,,False
1962,6,,no participó,,,,,,,,,False
1966,6,,no participó,,,,,,,,,False
1970,6,,no participó,,,,,,,,,False
1974,6,14.0,Grupos 1ra Ronda,1.0,3.0,0.0,1.0,2.0,0.0,5.0,-5.0,True
1978,6,,no participó,,,,,,,,,False
1982,6,,no participó,,,,,,,,,False
1986,6,,no participó,,,,,,,,,False
1990,6,,no participó,,,,,,,,,False
1994,6,,no participó,,,,,,,,,False
1998,6,,no participó,,,,,,,,,False
2002,6,,no participó,,,,,,,,,False
2006,6,16.0,Octavos de Final,4.0,4.0,1.0,1.0,2.0,5.0,6.0,-1.0,True
2010,6,21.0,Grupos 1ra Ronda,4.0,3.0,1.0,1.0,1.0,3.0,6.0,-3.0,True
2014,6,30.0,Grupos 1ra Ronda,0.0,3.0,0.0,0.0,3.0,3.0,9.0,-6.0,True
