seleccion_id,nombre
1,Alemania
2,Arabia Saudita
3,Argentina
4,Australia
5,Brasil
6,Bélgica
7,Camerún
8,Canadá
9,Catar
10,Corea del Sur
11,Costa Rica
12,Croacia
13,Dinamarca
14,Ecuador
15,España
16,Estados Unidos
17,Francia
18,Gales
19,Ghana
20,Inglaterra
21,Irán
22,Japón
23,Marruecos
24,México
25,Paises Bajos
26,Polonia
27,Portugal
28,Senegal
29,Serbia
30,Suiza
31,Túnez
32,Uruguay
